alias,country_id,Country (INFO),institution_id,Institution (INFO)
"Conservation Division, Department of Arts, Sport, Environment, Tourism and Territories",6,Australia,1423,"Australian Department of Arts, Sport, Environment, Tourism and Territories"
"Department of Arts, Sport, Environment, Tourism and Territories",6,Australia,1423,"Australian Department of Arts, Sport, Environment, Tourism and Territories"
Ministry of External Relations,16,Brazil,1425,Brazilian Ministry of External Relations
State Meteorological Agency,23,China,187,China Meteorological Administration
Academy of Agricultural Sciences,23,China,820,Chinese Academy of Agricultural Science
Ministere de l'Environnement,35,France,1426,French Ministry of Environment
Food and Agricultural Organization,49,Italy,644,Food and Agriculture Organization (FAO)
Forestry & Forest Products Research Institute,51,Japan,957,Forestry and Forest Products Research Institute
Ministry of Foreign Affairs,51,Japan,1427,Japanese Ministry of Foreign Affairs
Ministry of Foreign Affairs,62,Malta,1428,Maltese Ministry of Foreign Affairs
Department of Hydrology & Meteorology,72,Nepal,1429,Nepalese Department of Hydrology & Meteorology
Ministry of Agriculture and Fisheries,107,Netherlands,1430,Dutch Ministry of Agriculture and Fisheries
Institute of Resource Assessment,104,Tanzania,1433,Tanzanian Institute of Resource Assessment
Overseas Development Administration,117,United Kingdom,1089,Overseas Development Institute
Department of the Environment,117,United Kingdom,1436,UK Department of the Environment
"Department of the Army, Civil Works",113,USA,1357,U.S. Army Corps of Engineers
Department of Meteorological Services,123,Zimbabwe,1363,Zimbabwe Meteorological Services
