Country,AR,Cumulated WG,Author Id,Author
Algeria,2,WG2,46,Ahmed Aidoud
Algeria,4,WG2,2712,Mohamed Senouci
Algeria,5,WG2,4245,Houria Djoudi
Antigua and Barbuda,3,WG2,466,Brian Challenger
Argentina,1,WG1,1687,J.C. Leiva
Argentina,2,WG1,731,M. Duarte
Argentina,2,WG1+2,2595,O. Sala
Argentina,2,WG2,121,A. Aristarain
Argentina,2,WG2,436,Osvaldo F. Canziani
Argentina,2,WG2,439,Rodolfo Carcavallo
Argentina,2,WG2,599,Susana I. Curto De Casas
Argentina,2,WG2,680,Sandra Myrna Diaz
Argentina,2,WG2,747,G. Dutt
Argentina,2,WG2,1609,J. Labraga
Argentina,2,WG2,1800,N. Maceira
Argentina,2,WG2,1826,E.C. Malagnino
Argentina,2,WG2,2501,Ca. Rinaldi
Argentina,2,WG2,2529,R. Rodriguez
Argentina,2,WG2,2558,M. Rostagno
Argentina,2,WG2,2691,Carlos Scoppa
Argentina,2,WG2,2790,P. Skvarca
Argentina,2,WG3,2904,C.E. Suarez
Argentina,3,WG1,201,Vicente Ricardo Barros
Argentina,3,WG2,436,Osvaldo F. Canziani
Argentina,3,WG2,439,Rodolfo Carcavallo
Argentina,3,WG2,535,Jorge O. Codignotto
Argentina,3,WG2,551,Rosa Hilda Compagnucci
Argentina,3,WG2,680,Sandra Myrna Diaz
Argentina,3,WG2,874,Jorge Frangi
Argentina,3,WG2,1815,Graciela Odilia Magrin
Argentina,3,WG2,2822,Gabriel Soler
Argentina,3,WG2,2823,Silvina Solman
Argentina,3,WG2,3086,Walter Vargas
Argentina,3,WG3,311,Daniel H. Bouille
Argentina,3,WG3,2702,Hector Sejenovich
Argentina,4,WG1,421,Inés Camilloni
Argentina,4,WG1,1941,Claudio Menendez
Argentina,4,WG1,2576,Matilde Rusticucci
Argentina,4,WG1,3106,Ricardo Villalba
Argentina,4,WG2,436,Osvaldo F. Canziani
Argentina,4,WG2,599,Susana I. Curto De Casas
Argentina,4,WG2,680,Sandra Myrna Diaz
Argentina,4,WG2,970,Juan Carlos Giménez
Argentina,4,WG2,1287,Ana Iglesias
Argentina,4,WG2,1815,Graciela Odilia Magrin
Argentina,4,WG2,3021,Maria Isabel Travasso
Argentina,4,WG2+3,535,Jorge O. Codignotto
Argentina,4,WG3,311,Daniel H. Bouille
Argentina,4,WG3,1358,Esteban Jobbagy
Argentina,5,WG1,421,Inés Camilloni
Argentina,5,WG1,1941,Claudio Menendez
Argentina,5,WG1,2576,Matilde Rusticucci
Argentina,5,WG1,2823,Silvina Solman
Argentina,5,WG2,4107,Vicente Barros
Argentina,5,WG2,974,Leonidas Osvaldo Girardin
Argentina,5,WG2,4555,Graciela Magrin
Argentina,5,WG2,1815,Graciela Odilia Magrin
Argentina,5,WG2,2939,Miguel Angel Taboada
Argentina,5,WG2,4904,Mara Travasso
Argentina,5,WG2,3021,Maria Isabel Travasso
Argentina,5,WG2,3103,Ernesto F. Viglizzo
Argentina,5,WG3,3654,Gabriel Blanco
Argentina,5,WG3,311,Daniel H. Bouille
Argentina,5,WG3,3697,Mariana Conte Grand
Argentina,5,WG3,3938,Daniel Perczyk
Argentina,5,WG3,3974,Estela Santalla
Argentina,5,WG3,4031,Maria Virginia Vilariño
Australia,1,WG1,571,Michael J. Coughlan
Australia,1,WG1,788,Ian G. Enting
Australia,1,WG1,876,Paul Fraser
Australia,1,WG1,964,R. Gifford
Australia,1,WG1,1175,Ann Henderson-Sellers
Australia,1,WG1,1275,B. Hunt
Australia,1,WG1,1434,David J. Karoly
Australia,1,WG1,1892,Bryant J. McAvaney
Australia,1,WG1,2284,G. Pearman
Australia,1,WG1,2770,Ian H. Simmonds
Australia,1,WG1+2,2123,Neville Nicholls
Australia,1,WG1+2,2350,A. Barrie Pittock
Australia,1,WG2,1030,C. Griffiths
Australia,1,WG2,1082,J. Hales
Australia,1,WG2,1151,R. Heathcote
Australia,1,WG2,1735,D. Linforth
Australia,1,WG2,3617,P.G. Quilty
Australia,1,WG2+3,1218,R. Holesgrove
Australia,1,WG3,5055,Chris Bee
Australia,1,WG3,5053,E. James
Australia,1,WG3,5052,C. McKenzie
Australia,1,WG3,5051,N. Quin
Australia,1,WG3,5054,Nelson Quinn
Australia,1,WG3,3004,J. Tilley
Australia,2,WG1,484,T. Chen
Australia,2,WG1,498,Francis Chiew
Australia,2,WG1,511,J. Churc
Australia,2,WG1,549,Robert Colman
Australia,2,WG1,728,W. Drosdowsky
Australia,2,WG1,788,Ian G. Enting
Australia,2,WG1,812,G.D. Farquhar
Australia,2,WG1,857,J. Foley
Australia,2,WG1,790,P. Fraser
Australia,2,WG1,878,C. Fredericksen
Australia,2,WG1,1000,H. Gordon
Australia,2,WG1,1178,Kevin Hennessy
Australia,2,WG1,1219,Greg Holland
Australia,2,WG1,1237,L. Hopkins
Australia,2,WG1,1299,P. Irannejad
Australia,2,WG1,1434,David J. Karoly
Australia,2,WG1,1503,B. Kininmonth
Australia,2,WG1,1754,J. Lloyd
Australia,2,WG1,1770,Janice Lough
Australia,2,WG1,1773,P. Love
Australia,2,WG1,1792,A. Lync
Australia,2,WG1,1842,Harvey J. Marchant
Australia,2,WG1,1892,Bryant J. McAvaney
Australia,2,WG1,1906,J.L. McGregor
Australia,2,WG1,1915,T. Mcmahon
Australia,2,WG1,2123,Neville Nicholls
Australia,2,WG1,2349,Andy Pitman
Australia,2,WG1,2357,N. Plummer
Australia,2,WG1,2379,Scott B. Power
Australia,2,WG1,2786,C. Skelly
Australia,2,WG1,2934,J. Syktus
Australia,2,WG1,3142,K. Walsh
Australia,2,WG1,3210,Penny Whetton
Australia,2,WG1,3376,John Zillman
Australia,2,WG1+2,1175,Ann Henderson-Sellers
Australia,2,WG2,71,Ian Allison
Australia,2,WG2,156,M.P. Austin
Australia,2,WG2,211,Bryson C. Bates
Australia,2,WG2,303,T.H. Booth
Australia,2,WG2,510,John A. Church
Australia,2,WG2,753,D. Eamus
Australia,2,WG2,799,J.R. Evans
Australia,2,WG2,884,J. Freney
Australia,2,WG2,977,Habiba Gitay
Australia,2,WG2,1238,David Hopley
Australia,2,WG2,1253,Mark Howden
Australia,2,WG2,1489,G.A. Kile
Australia,2,WG2,1512,Miko Kirschbaum
Australia,2,WG2,1578,P.E. Kriedemann
Australia,2,WG2,1629,J. Landsberg
Australia,2,WG2,1914,Roger McLean
Australia,2,WG2,1916,Anthony J. McMichael
Australia,2,WG2,1917,R.E. Mcmurtrie
Australia,2,WG2,2126,S. Nicol
Australia,2,WG2,2136,Ian Noble
Australia,2,WG2,2350,A. Barrie Pittock
Australia,2,WG2,2360,I. Poiner
Australia,2,WG2,2423,R.J. Raison
Australia,2,WG2,2631,A.R. Saunders
Australia,2,WG2,2853,M. Stafford Smith
Australia,2,WG2,2914,M. Sullivan
Australia,2,WG2,2995,R. Thresher
Australia,2,WG3,842,Brian S. Fisher
Australia,2,WG3,1197,M. Hinchy
Australia,2,WG3,2994,S. Thorpe
Australia,3,WG1,66,Richard Allan
Australia,3,WG1,285,R. Boers
Australia,3,WG1,510,John A. Church
Australia,3,WG1,545,D. Collins
Australia,3,WG1,549,Robert Colman
Australia,3,WG1,662,N. Derek
Australia,3,WG1,695,Martin Dix
Australia,3,WG1,785,M. England
Australia,3,WG1,788,Ian G. Enting
Australia,3,WG1,795,David Etheridge
Australia,3,WG1,812,G.D. Farquhar
Australia,3,WG1,864,Piers Forster
Australia,3,WG1,1175,Ann Henderson-Sellers
Australia,3,WG1,1178,Kevin Hennessy
Australia,3,WG1,1219,Greg Holland
Australia,3,WG1,1385,Roger N. Jones
Australia,3,WG1,1434,David J. Karoly
Australia,3,WG1,1622,Kurt Lambeck
Australia,3,WG1,1651,R. Law
Australia,3,WG1,1872,R.J. Matear
Australia,3,WG1,1892,Bryant J. McAvaney
Australia,3,WG1,1906,J.L. McGregor
Australia,3,WG1,2161,S.P. O'Farrell
Australia,3,WG1,2349,Andy Pitman
Australia,3,WG1,2357,N. Plummer
Australia,3,WG1,2459,Peter J. Rayner
Australia,3,WG1,2536,G. Roff
Australia,3,WG1,2562,Leon D. Rotstayn
Australia,3,WG1,2863,P. Steele
Australia,3,WG1,3076,T. van Ommen
Australia,3,WG1,3142,K. Walsh
Australia,3,WG1,3210,Penny Whetton
Australia,3,WG1,3224,S.E. Wijffels
Australia,3,WG1,3376,John Zillman
Australia,3,WG1+2,211,Bryson C. Bates
Australia,3,WG2,584,Steven Crimp
Australia,3,WG2,832,Max Finlayson
Australia,3,WG2,876,Paul Fraser
Australia,3,WG2,977,Habiba Gitay
Australia,3,WG2,1253,Mark Howden
Australia,3,WG2,1842,Harvey J. Marchant
Australia,3,WG2,1914,Roger McLean
Australia,3,WG2,2033,V. Morgan
Australia,3,WG2,2136,Ian Noble
Australia,3,WG2,2350,A. Barrie Pittock
Australia,3,WG2,3136,Brian H. Walker
Australia,3,WG3,842,Brian S. Fisher
Australia,4,WG1,71,Ian Allison
Australia,4,WG1,262,Nathaniel L. Bindoff
Australia,4,WG1,408,Wenju Cai
Australia,4,WG1,510,John A. Church
Australia,4,WG1,544,Mark Collier
Australia,4,WG1,549,Robert Colman
Australia,4,WG1,695,Martin Dix
Australia,4,WG1,795,David Etheridge
Australia,4,WG1,876,Paul Fraser
Australia,4,WG1,1176,Henry Hendon
Australia,4,WG1,1622,Kurt Lambeck
Australia,4,WG1,1793,Amanda H. Lynch
Australia,4,WG1,1892,Bryant J. McAvaney
Australia,4,WG1,2123,Neville Nicholls
Australia,4,WG1,2349,Andy Pitman
Australia,4,WG1,2379,Scott B. Power
Australia,4,WG1,2451,Michael Raupach
Australia,4,WG1,2504,Stephen Rintoul
Australia,4,WG1,2562,Leon D. Rotstayn
Australia,4,WG1,2770,Ian H. Simmonds
Australia,4,WG1,2922,Ramasamy Suppiah
Australia,4,WG1,3180,Ian G. Watterson
Australia,4,WG1,3209,Matthew Wheeler
Australia,4,WG1,3210,Penny Whetton
Australia,4,WG1,3271,Anthony Worby
Australia,4,WG1+2,431,Josep Canadell
Australia,4,WG1+2,1434,David J. Karoly
Australia,4,WG1+2,1911,Kathleen McInnes
Australia,4,WG2,14,Pamela Abuodha
Australia,4,WG2,211,Bryson C. Bates
Australia,4,WG2,225,Paul Beggs
